y,x1,x2,x3,x4,x5,x6
1,1.887867299406225,1.0754814696587265,4.244209304211926,8.108348814861866,10.28864804427052,13.133794802716949
1,2.6383290001924595,2.4429476787500555,3.714983479060167,7.413898180242451,9.780621227088146,2.9575486458147675
0,0.2022453522455805,2.5361608427773863,0.5883762055874495,4.904162129405785,4.873733791038594,12.00756806961268
1,1.848867777715158,2.7781766491718156,4.391824736505466,3.3077724236989834,7.12065484403539,3.1688658865510178
1,1.2363936210299709,1.185403278338741,2.3277645385180152,9.053176376920472,6.456705345023374,10.724928081692394
1,1.2091089163020485,3.7942118451285887,2.2599353018696777,7.421792083867445,6.552414853804962,12.476763450019964
1,1.3441997052997243,2.2934188063481793,2.152591599775668,7.165935394021096,8.078937933247444,4.975380670326928
0,1.8922309242672655,1.532930746876669,0.6976151985837933,8.643858133165223,1.48836013885005,6.0784800872319495
1,2.028652957819718,2.7459200741242187,3.2232819284790617,4.391797177012286,2.7294767083692535,5.873166846857226
1,1.1278463283838775,1.7203884710394926,1.648255960718192,7.6574632417284025,6.639898595388152,11.195319556992773
0,1.8529275959123697,1.830826646668013,2.670868206567403,4.022805539996062,3.6539066494173715,0.47574141542949266
1,1.03520504740269,3.2127249164567733,4.050232226332573,1.7768141612389545,4.6168734043579,1.08911676752611
1,2.5741390054478632,3.307196962177318,4.116074680780158,4.809451981619338,10.874346683788144,11.798965460546462
0,1.1957999576221703,2.23224133231518,1.7526986953639052,6.272441674443478,10.933174979170607,9.257065706158604
1,2.229541906312525,3.6515074207939815,3.2194464921447037,5.65681287535773,11.541431130292883,12.880778824711676
1,2.6943149140062155,3.49619792644627,2.4631349677516106,9.364637796839213,1.8296734213493018,11.085457616623122
0,0.30289104387071464,1.4320845808820861,1.7643478898242648,2.3510426499812698,9.964878776429043,8.26591459198091
1,1.7400070811500628,3.9618369951528525,3.3676452252044533,2.671155440701825,9.981541364507633,5.834920099331141
0,0.3949725633040646,1.8505097723054393,2.3019557865928157,0.5665598941316365,3.18452298721015,10.712999938452718
1,2.7799202432306362,2.707851452905208,4.164204503883112,2.5779364874308173,11.0157749126947,5.629527968854756
0,0.39436596393613255,0.8165974178296964,1.2368152774979357,3.2761552006865213,6.0886161374527115,4.097244293206402
0,0.8057465652652742,1.6585200262921584,1.0364524232475012,7.571737986841681,7.635623819286807,7.809558269743377
1,1.0701298980374374,1.9991117921642203,4.472580612311555,7.60812421285072,11.347532584444325,13.796816447094907
0,1.4321261068391162,2.815398942056629,2.428254013643724,1.146471811152432,8.609173737119207,5.591116715807183
0,1.3108719568813225,0.2872960803194845,2.0823404795516662,7.870501566096428,5.907028290205878,11.792168563173943
1,1.8751954875075871,1.988013790028973,4.668594931586553,3.5516007510287055,7.280630350555276,7.283849055296253
1,2.7789799807990603,2.4784157673642713,1.074841868656816,9.811223808878744,5.87615240637415,11.10020192142676
